month,region,region_code,claimant_count
March 2006,East,E12000006,68915
March 2006,London,E12000007,170320
March 2006,South East,E12000008,87380
March 2006,South West,E12000009,50145
March 2006,Wales,W92000004,47925
March 2006,Scotland,S92000003,95360
April 2006,North East,E12000001,51830
April 2006,North West,E12000002,119960
April 2006,Yorkshire and The Humber,E12000003,90595
April 2006,East Midlands,E12000004,64555
April 2006,West Midlands,E12000005,112660
April 2006,East,E12000006,68350
April 2006,London,E12000007,170510
April 2006,South East,E12000008,84650
April 2006,South West,E12000009,50295
April 2006,Wales,W92000004,46920
April 2006,Scotland,S92000003,92660
May 2006,North East,E12000001,50900
May 2006,North West,E12000002,118000
May 2006,Yorkshire and The Humber,E12000003,89395
May 2006,East Midlands,E12000004,63285
May 2006,West Midlands,E12000005,110775
May 2006,East,E12000006,66830
May 2006,London,E12000007,169530
May 2006,South East,E12000008,84165
May 2006,South West,E12000009,49095
May 2006,Wales,W92000004,45240
May 2006,Scotland,S92000003,90830
June 2006,North East,E12000001,50145
June 2006,North West,E12000002,117110
June 2006,Yorkshire and The Humber,E12000003,87735
June 2006,East Midlands,E12000004,62310
June 2006,West Midlands,E12000005,109265
June 2006,East,E12000006,65615
June 2006,London,E12000007,168890
June 2006,South East,E12000008,82765
June 2006,South West,E12000009,48060
June 2006,Wales,W92000004,43485
June 2006,Scotland,S92000003,90090
July 2006,North East,E12000001,49825
July 2006,North West,E12000002,117795
July 2006,Yorkshire and The Humber,E12000003,88640
July 2006,East Midlands,E12000004,62720
July 2006,West Midlands,E12000005,110710
July 2006,East,E12000006,65415
July 2006,London,E12000007,169380
July 2006,South East,E12000008,83715
July 2006,South West,E12000009,48150
July 2006,Wales,W92000004,43735
July 2006,Scotland,S92000003,92105
August 2006,North East,E12000001,50180
August 2006,North West,E12000002,117330
August 2006,Yorkshire and The Humber,E12000003,89155
August 2006,East Midlands,E12000004,63780
August 2006,West Midlands,E12000005,111455
August 2006,East,E12000006,64410
August 2006,London,E12000007,166320
August 2006,South East,E12000008,81345
August 2006,South West,E12000009,48970
August 2006,Wales,W92000004,44355
August 2006,Scotland,S92000003,92195
September 2006,North East,E12000001,49790
September 2006,North West,E12000002,117480
September 2006,Yorkshire and The Humber,E12000003,88250
September 2006,East Midlands,E12000004,63000
September 2006,West Midlands,E12000005,110665
September 2006,East,E12000006,65570
September 2006,London,E12000007,169405
September 2006,South East,E12000008,82510
September 2006,South West,E12000009,48640
September 2006,Wales,W92000004,43315
September 2006,Scotland,S92000003,85860
October 2006,North East,E12000001,49450
October 2006,North West,E12000002,114570
October 2006,Yorkshire and The Humber,E12000003,86530
October 2006,East Midlands,E12000004,61395
October 2006,West Midlands,E12000005,107260
October 2006,East,E12000006,65720
October 2006,London,E12000007,166720
October 2006,South East,E12000008,80925
October 2006,South West,E12000009,47665
October 2006,Wales,W92000004,41995
October 2006,Scotland,S92000003,84100
November 2006,North East,E12000001,50045
November 2006,North West,E12000002,112875
November 2006,Yorkshire and The Humber,E12000003,85365
November 2006,East Midlands,E12000004,60555
November 2006,West Midlands,E12000005,106375
November 2006,East,E12000006,65805
November 2006,London,E12000007,163575
November 2006,South East,E12000008,79180
November 2006,South West,E12000009,47385
November 2006,Wales,W92000004,41390
November 2006,Scotland,S92000003,83275
December 2006,North East,E12000001,51285
December 2006,North West,E12000002,114730
December 2006,Yorkshire and The Humber,E12000003,86165
December 2006,East Midlands,E12000004,60775
December 2006,West Midlands,E12000005,107510
December 2006,East,E12000006,65365
December 2006,London,E12000007,160760
December 2006,South East,E12000008,78155
December 2006,South West,E12000009,47995
December 2006,Wales,W92000004,42200
December 2006,Scotland,S92000003,82815
January 2007,North East,E12000001,54700
