"DATE_NAME","GEOGRAPHY_NAME","INDUSTRY_NAME","OBS_VALUE"
"2015","London","10 : Information & communication (J)",383000
"2015","London","11 : Financial & insurance (K)",354000
"2015","London","12 : Property (L)",132000
"2015","London","13 : Professional, scientific & technical (M)",665000
"2015","London","14 : Business administration & support services (N)",528000
"2015","London","15 : Public administration & defence (O)",217000
"2015","London","16 : Education (P)",389000
"2015","London","17 : Health (Q)",506000
"2015","London","18 : Arts, entertainment, recreation & other services (R,S,T and U)",245000
"2015","South East","1 : Agriculture, forestry & fishing (A)",36000
"2015","South East","2 : Mining, quarrying & utilities (B,D and E)",45000
"2015","South East","3 : Manufacturing (C)",251000
"2015","South East","4 : Construction (F)",183000
"2015","South East","5 : Motor trades (Part G)",78000
"2015","South East","6 : Wholesale (Part G)",195000
"2015","South East","7 : Retail (Part G)",403000
"2015","South East","8 : Transport & storage (inc postal) (H)",179000
"2015","South East","9 : Accommodation & food services (I)",299000
"2015","South East","10 : Information & communication (J)",256000
"2015","South East","11 : Financial & insurance (K)",120000
"2015","South East","12 : Property (L)",72000
"2015","South East","13 : Professional, scientific & technical (M)",367000
"2015","South East","14 : Business administration & support services (N)",323000
"2015","South East","15 : Public administration & defence (O)",132000
"2015","South East","16 : Education (P)",424000
"2015","South East","17 : Health (Q)",512000
"2015","South East","18 : Arts, entertainment, recreation & other services (R,S,T and U)",198000
"2015","South West","1 : Agriculture, forestry & fishing (A)",27000
"2015","South West","2 : Mining, quarrying & utilities (B,D and E)",28000
"2015","South West","3 : Manufacturing (C)",209000
"2015","South West","4 : Construction (F)",118000
"2015","South West","5 : Motor trades (Part G)",60000
"2015","South West","6 : Wholesale (Part G)",90000
"2015","South West","7 : Retail (Part G)",253000
"2015","South West","8 : Transport & storage (inc postal) (H)",103000
"2015","South West","9 : Accommodation & food services (I)",196000
"2015","South West","10 : Information & communication (J)",70000
"2015","South West","11 : Financial & insurance (K)",80000
"2015","South West","12 : Property (L)",38000
"2015","South West","13 : Professional, scientific & technical (M)",187000
"2015","South West","14 : Business administration & support services (N)",169000
"2015","South West","15 : Public administration & defence (O)",103000
"2015","South West","16 : Education (P)",210000
"2015","South West","17 : Health (Q)",347000
"2015","South West","18 : Arts, entertainment, recreation & other services (R,S,T and U)",98000
"2015","Wales","1 : Agriculture, forestry & fishing (A)",18000
"2015","Wales","2 : Mining, quarrying & utilities (B,D and E)",25000
"2015","Wales","3 : Manufacturing (C)",145000
"2015","Wales","4 : Construction (F)",52000
"2015","Wales","5 : Motor trades (Part G)",26000
"2015","Wales","6 : Wholesale (Part G)",32000
"2015","Wales","7 : Retail (Part G)",133000
"2015","Wales","8 : Transport & storage (inc postal) (H)",43000
"2015","Wales","9 : Accommodation & food services (I)",93000
"2015","Wales","10 : Information & communication (J)",20000
"2015","Wales","11 : Financial & insurance (K)",28000
"2015","Wales","12 : Property (L)",16000
"2015","Wales","13 : Professional, scientific & technical (M)",63000
"2015","Wales","14 : Business administration & support services (N)",78000
"2015","Wales","15 : Public administration & defence (O)",86000
"2015","Wales","16 : Education (P)",125000
"2015","Wales","17 : Health (Q)",197000
"2015","Wales","18 : Arts, entertainment, recreation & other services (R,S,T and U)",54000
"2015","Scotland","1 : Agriculture, forestry & fishing (A)",35000
"2015","Scotland","2 : Mining, quarrying & utilities (B,D and E)",69000
"2015","Scotland","3 : Manufacturing (C)",179000
"2015","Scotland","4 : Construction (F)",131000
"2015","Scotland","5 : Motor trades (Part G)",44000
"2015","Scotland","6 : Wholesale (Part G)",77000
"2015","Scotland","7 : Retail (Part G)",237000
"2015","Scotland","8 : Transport & storage (inc postal) (H)",102000
"2015","Scotland","9 : Accommodation & food services (I)",203000
"2015","Scotland","10 : Information & communication (J)",62000
"2015","Scotland","11 : Financial & insurance (K)",85000
"2015","Scotland","12 : Property (L)",31000
"2015","Scotland","13 : Professional, scientific & technical (M)",163000
"2015","Scotland","14 : Business administration & support services (N)",183000
"2015","Scotland","15 : Public administration & defence (O)",147000
"2015","Scotland","16 : Education (P)",193000
"2015","Scotland","17 : Health (Q)",413000
"2015","Scotland","18 : Arts, entertainment, recreation & other services (R,S,T and U)",108000
"2015","North East","1 : Agriculture, forestry & fishing (A)",3500
"2015","North East","2 : Mining, quarrying & utilities (B,D and E)",13000
"2015","North East","3 : Manufacturing (C)",118000
"2015","North East","4 : Construction (F)",52000
"2015","North East","5 : Motor trades (Part G)",18000
"2015","North East","6 : Wholesale (Part G)",27000
"2015","North East","7 : Retail (Part G)",105000
"2015","North East","8 : Transport & storage (inc postal) (H)",44000
"2015","North East","9 : Accommodation & food services (I)",80000
"2015","North East","10 : Information & communication (J)",33000
"2015","North East","11 : Financial & insurance (K)",23000
"2015","North East","12 : Property (L)",16000
"2015","North East","13 : Professional, scientific & technical (M)",70000
"2015","North East","14 : Business administration & support services (N)",81000
