year,region,measure,weekly_pay_gbp
2016,Yorkshire and The Humber,Value,498.3
2016,Yorkshire and The Humber,Confidence,0.9
2016,East Midlands,Value,501.5
2016,East Midlands,Confidence,1.1
2016,West Midlands,Value,507.6
2016,West Midlands,Confidence,1.0
2016,East,Value,569.5
2016,East,Confidence,0.9
2016,London,Value,631.8
2016,London,Confidence,0.7
2016,South East,Value,581.8
2016,South East,Confidence,0.7
2016,South West,Value,513.4
2016,South West,Confidence,0.9
2016,Wales,Value,499.2
2016,Wales,Confidence,1.2
2016,Scotland,Value,536.0
2016,Scotland,Confidence,0.8
2017,North East,Value,504.1
2017,North East,Confidence,1.2
2017,North West,Value,514.5
2017,North West,Confidence,0.9
2017,Yorkshire and The Humber,Value,502.3
2017,Yorkshire and The Humber,Confidence,0.8
2017,East Midlands,Value,516.7
2017,East Midlands,Confidence,1.1
2017,West Midlands,Value,517.1
2017,West Midlands,Confidence,1.0
2017,East,Value,574.9
2017,East,Confidence,0.7
2017,London,Value,654.1
2017,London,Confidence,0.7
2017,South East,Value,595.9
2017,South East,Confidence,0.6
2017,South West,Value,527.0
2017,South West,Confidence,0.9
2017,Wales,Value,505.7
2017,Wales,Confidence,1.2
2017,Scotland,Value,547.4
2017,Scotland,Confidence,0.8
2018,North East,Value,511.1
2018,North East,Confidence,1.4
2018,North West,Value,529.8
2018,North West,Confidence,0.8
2018,Yorkshire and The Humber,Value,520.4
2018,Yorkshire and The Humber,Confidence,0.9
2018,East Midlands,Value,529.9
2018,East Midlands,Confidence,1.0
2018,West Midlands,Value,535.5
2018,West Midlands,Confidence,1.0
2018,East,Value,589.4
2018,East,Confidence,0.9
2018,London,Value,670.8
2018,London,Confidence,0.6
2018,South East,Value,614.9
2018,South East,Confidence,0.7
2018,South West,Value,537.6
2018,South West,Confidence,0.9
2018,Wales,Value,518.5
2018,Wales,Confidence,1.2
2018,Scotland,Value,562.7
2018,Scotland,Confidence,0.8
2019,North East,Value,531.4
2019,North East,Confidence,1.4
2019,North West,Value,555.8
2019,North West,Confidence,0.9
2019,Yorkshire and The Humber,Value,540.8
2019,Yorkshire and The Humber,Confidence,0.9
2019,East Midlands,Value,547.5
2019,East Midlands,Confidence,1.0
2019,West Midlands,Value,550.8
2019,West Midlands,Confidence,0.9
2019,East,Value,610.2
2019,East,Confidence,0.7
2019,London,Value,699.3
2019,London,Confidence,0.7
2019,South East,Value,636.3
2019,South East,Confidence,0.7
2019,South West,Value,560.9
2019,South West,Confidence,0.9
2019,Wales,Value,540.0
2019,Wales,Confidence,1.4
2019,Scotland,Value,578.3
2019,Scotland,Confidence,0.7
