"DATE_NAME","GEOGRAPHY_NAME","ITEM_NAME","OBS_VALUE"
"2010","South West","75 percentile",666.8
"2010","South West","90 percentile",900.4
"2010","Wales","Median",456.2
"2010","Wales","10 percentile",262.1
"2010","Wales","25 percentile",330.0
"2010","Wales","75 percentile",640.2
"2010","Wales","90 percentile",840.2
"2010","Scotland","Median",486.6
"2010","Scotland","10 percentile",272.1
"2010","Scotland","25 percentile",350.3
"2010","Scotland","75 percentile",673.8
"2010","Scotland","90 percentile",918.1
"2011","North East","Median",448.5
"2011","North East","10 percentile",268.3
"2011","North East","25 percentile",331.4
"2011","North East","75 percentile",632.4
"2011","North East","90 percentile",854.2
"2011","North West","Median",458.7
"2011","North West","10 percentile",266.2
"2011","North West","25 percentile",334.0
"2011","North West","75 percentile",658.8
"2011","North West","90 percentile",896.6
"2011","Yorkshire and The Humber","Median",461.7
"2011","Yorkshire and The Humber","10 percentile",265.6
"2011","Yorkshire and The Humber","25 percentile",335.2
"2011","Yorkshire and The Humber","75 percentile",646.9
"2011","Yorkshire and The Humber","90 percentile",867.3
"2011","East Midlands","Median",468.2
"2011","East Midlands","10 percentile",266.4
"2011","East Midlands","25 percentile",340.4
"2011","East Midlands","75 percentile",667.8
"2011","East Midlands","90 percentile",898.8
"2011","West Midlands","Median",465.2
"2011","West Midlands","10 percentile",265.4
"2011","West Midlands","25 percentile",332.8
"2011","West Midlands","75 percentile",653.5
"2011","West Midlands","90 percentile",883.8
"2011","East","Median",525.0
"2011","East","10 percentile",285.1
"2011","East","25 percentile",371.9
"2011","East","75 percentile",744.4
"2011","East","90 percentile",1069.3
"2011","London","Median",608.8
"2011","London","10 percentile",320.1
"2011","London","25 percentile",435.0
"2011","London","75 percentile",862.4
"2011","London","90 percentile",1333.5
"2011","South East","Median",554.6
"2011","South East","10 percentile",294.0
"2011","South East","25 percentile",384.0
"2011","South East","75 percentile",802.2
"2011","South East","90 percentile",1168.5
"2011","South West","Median",471.5
"2011","South West","10 percentile",275.0
"2011","South West","25 percentile",345.0
"2011","South West","75 percentile",668.6
"2011","South West","90 percentile",917.9
"2011","Wales","Median",455.1
"2011","Wales","10 percentile",265.2
"2011","Wales","25 percentile",333.4
"2011","Wales","75 percentile",631.9
"2011","Wales","90 percentile",835.7
"2011","Scotland","Median",487.2
"2011","Scotland","10 percentile",274.4
"2011","Scotland","25 percentile",350.1
"2011","Scotland","75 percentile",673.5
"2011","Scotland","90 percentile",922.8
"2012","North East","Median",454.9
"2012","North East","10 percentile",271.8
"2012","North East","25 percentile",338.5
"2012","North East","75 percentile",644.3
"2012","North East","90 percentile",849.0
"2012","North West","Median",472.1
"2012","North West","10 percentile",273.4
"2012","North West","25 percentile",340.2
"2012","North West","75 percentile",670.2
"2012","North West","90 percentile",897.1
"2012","Yorkshire and The Humber","Median",465.2
"2012","Yorkshire and The Humber","10 percentile",270.6
"2012","Yorkshire and The Humber","25 percentile",340.0
"2012","Yorkshire and The Humber","75 percentile",648.1
"2012","Yorkshire and The Humber","90 percentile",870.0
"2012","East Midlands","Median",476.5
"2012","East Midlands","10 percentile",272.1
"2012","East Midlands","25 percentile",345.0
"2012","East Midlands","75 percentile",673.4
