period,geography,variable,value
Apr 2017-Mar 2018,North East,Unemployment rate - aged 50+,4.0
Apr 2017-Mar 2018,North East,Employment rate - aged 16-24,51.8
Apr 2017-Mar 2018,North East,Employment rate - aged 25-49,80.6
Apr 2017-Mar 2018,North East,Employment rate - aged 50+,38.0
Jul 2017-Jun 2018,North East,Unemployment rate - aged 16-24,11.9
Jul 2017-Jun 2018,North East,Unemployment rate - aged 25-49,4.5
Jul 2017-Jun 2018,North East,Unemployment rate - aged 50+,4.1
Jul 2017-Jun 2018,North East,Employment rate - aged 16-24,52.7
Jul 2017-Jun 2018,North East,Employment rate - aged 25-49,80.0
Jul 2017-Jun 2018,North East,Employment rate - aged 50+,37.4
Oct 2017-Sep 2018,North East,Unemployment rate - aged 16-24,12.1
Oct 2017-Sep 2018,North East,Unemployment rate - aged 25-49,4.2
Oct 2017-Sep 2018,North East,Unemployment rate - aged 50+,4.0
Oct 2017-Sep 2018,North East,Employment rate - aged 16-24,52.6
Oct 2017-Sep 2018,North East,Employment rate - aged 25-49,80.0
Oct 2017-Sep 2018,North East,Employment rate - aged 50+,37.8
Jan 2018-Dec 2018,North East,Unemployment rate - aged 16-24,13.2
Jan 2018-Dec 2018,North East,Unemployment rate - aged 25-49,4.1
Jan 2018-Dec 2018,North East,Unemployment rate - aged 50+,4.0
Jan 2018-Dec 2018,North East,Employment rate - aged 16-24,51.6
Jan 2018-Dec 2018,North East,Employment rate - aged 25-49,80.8
Jan 2018-Dec 2018,North East,Employment rate - aged 50+,38.2
Apr 2018-Mar 2019,North East,Unemployment rate - aged 16-24,14.3
Apr 2018-Mar 2019,North East,Unemployment rate - aged 25-49,4.4
Apr 2018-Mar 2019,North East,Unemployment rate - aged 50+,4.3
Apr 2018-Mar 2019,North East,Employment rate - aged 16-24,50.3
Apr 2018-Mar 2019,North East,Employment rate - aged 25-49,81.0
Apr 2018-Mar 2019,North East,Employment rate - aged 50+,38.3
Jul 2018-Jun 2019,North East,Unemployment rate - aged 16-24,13.8
Jul 2018-Jun 2019,North East,Unemployment rate - aged 25-49,4.6
Jul 2018-Jun 2019,North East,Unemployment rate - aged 50+,4.0
Jul 2018-Jun 2019,North East,Employment rate - aged 16-24,51.2
Jul 2018-Jun 2019,North East,Employment rate - aged 25-49,81.1
Jul 2018-Jun 2019,North East,Employment rate - aged 50+,38.6
Oct 2018-Sep 2019,North East,Unemployment rate - aged 16-24,16.0
Oct 2018-Sep 2019,North East,Unemployment rate - aged 25-49,4.2
