"DATE_NAME","GEOGRAPHY_NAME","C_AGE_NAME","OBS_VALUE"
"2025","East Midlands","Age 30",63682
"2025","East Midlands","Age 31",66338
"2025","East Midlands","Age 32",66828
"2025","East Midlands","Age 33",69105
"2025","East Midlands","Age 34",70467
"2025","East Midlands","Age 35",70737
"2025","East Midlands","Age 36",69146
"2025","East Midlands","Age 37",70122
"2025","East Midlands","Age 38",68386
"2025","East Midlands","Age 39",67681
"2025","East Midlands","Age 40",67763
"2025","East Midlands","Age 41",65261
"2025","East Midlands","Age 42",64995
"2025","East Midlands","Age 43",64005
"2025","East Midlands","Age 44",65185
"2025","East Midlands","Age 45",64964
"2025","East Midlands","Age 46",61422
"2025","East Midlands","Age 47",57020
"2025","East Midlands","Age 48",56112
"2025","East Midlands","Age 49",57705
"2025","East Midlands","Age 50",59285
"2025","East Midlands","Age 51",60720
"2025","East Midlands","Age 52",63766
"2025","East Midlands","Age 53",67149
"2025","East Midlands","Age 54",70586
"2025","East Midlands","Age 55",67406
"2025","East Midlands","Age 56",70543
"2025","East Midlands","Age 57",69649
"2025","East Midlands","Age 58",69862
"2025","East Midlands","Age 59",69248
"2025","East Midlands","Age 60",69641
"2025","East Midlands","Age 61",68322
"2025","East Midlands","Age 62",67379
"2025","East Midlands","Age 63",65136
"2025","East Midlands","Age 64",62956
"2025","West Midlands","Age 18",75988
"2025","West Midlands","Age 19",75435
"2025","West Midlands","Age 20",75810
"2025","West Midlands","Age 21",75753
"2025","West Midlands","Age 22",74738
"2025","West Midlands","Age 23",75628
"2025","West Midlands","Age 24",75203
"2025","West Midlands","Age 25",74993
"2025","West Midlands","Age 26",76549
"2025","West Midlands","Age 27",78004
"2025","West Midlands","Age 28",79609
"2025","West Midlands","Age 29",78978
"2025","West Midlands","Age 30",79797
"2025","West Midlands","Age 31",81820
"2025","West Midlands","Age 32",82602
"2025","West Midlands","Age 33",85248
"2025","West Midlands","Age 34",86663
"2025","West Midlands","Age 35",86760
"2025","West Midlands","Age 36",85909
"2025","West Midlands","Age 37",85876
"2025","West Midlands","Age 38",84961
"2025","West Midlands","Age 39",83203
"2025","West Midlands","Age 40",83571
"2025","West Midlands","Age 41",79972
"2025","West Midlands","Age 42",80194
"2025","West Midlands","Age 43",78723
"2025","West Midlands","Age 44",78944
"2025","West Midlands","Age 45",79660
"2025","West Midlands","Age 46",75068
"2025","West Midlands","Age 47",69401
"2025","West Midlands","Age 48",68068
"2025","West Midlands","Age 49",70022
"2025","West Midlands","Age 50",70774
"2025","West Midlands","Age 51",72240
"2025","West Midlands","Age 52",75725
"2025","West Midlands","Age 53",78952
"2025","West Midlands","Age 54",81862
"2025","West Midlands","Age 55",80728
"2025","West Midlands","Age 56",82154
"2025","West Midlands","Age 57",81472
"2025","West Midlands","Age 58",81171
"2025","West Midlands","Age 59",80025
"2025","West Midlands","Age 60",79833
"2025","West Midlands","Age 61",78063
"2025","West Midlands","Age 62",75926
"2025","West Midlands","Age 63",74972
"2025","West Midlands","Age 64",71948
"2025","East","Age 18",74477
"2025","East","Age 19",61129
"2025","East","Age 20",58288
"2025","East","Age 21",60364
"2025","East","Age 22",63339
"2025","East","Age 23",70259
"2025","East","Age 24",73014
"2025","East","Age 25",75245
"2025","East","Age 26",77432
"2025","East","Age 27",79362
"2025","East","Age 28",80023
"2025","East","Age 29",79907
"2025","East","Age 30",82240
"2025","East","Age 31",86371
"2025","East","Age 32",86566
"2025","East","Age 33",89898
"2025","East","Age 34",92371
"2025","East","Age 35",93001
"2025","East","Age 36",92757
"2025","East","Age 37",94747
"2025","East","Age 38",92231
"2025","East","Age 39",92176
"2025","East","Age 40",90932
"2025","East","Age 41",88631
"2025","East","Age 42",87923
"2025","East","Age 43",88307
"2025","East","Age 44",89339
"2025","East","Age 45",88941
"2025","East","Age 46",86090
"2025","East","Age 47",79365
"2025","East","Age 48",78121
"2025","East","Age 49",79264
"2025","East","Age 50",80675
"2025","East","Age 51",81676
"2025","East","Age 52",84180
"2025","East","Age 53",86475
"2025","East","Age 54",89039
"2025","East","Age 55",86171
"2025","East","Age 56",88375
"2025","East","Age 57",87903
"2025","East","Age 58",88815
"2025","East","Age 59",88751
"2025","East","Age 60",88008
"2025","East","Age 61",86604
"2025","East","Age 62",83983
"2025","East","Age 63",81945
"2025","East","Age 64",79050
"2025","London","Age 18",102850
"2025","London","Age 19",95037
"2025","London","Age 20",101172
"2025","London","Age 21",110958
"2025","London","Age 22",128458
"2025","London","Age 23",146286
"2025","London","Age 24",158859
"2025","London","Age 25",169967
"2025","London","Age 26",177574
"2025","London","Age 27",181381
"2025","London","Age 28",182004
"2025","London","Age 29",177295
"2025","London","Age 30",172167
"2025","London","Age 31",167375
"2025","London","Age 32",160964
"2025","London","Age 33",158310
"2025","London","Age 34",153955
"2025","London","Age 35",153447
"2025","London","Age 36",150050
"2025","London","Age 37",147766
"2025","London","Age 38",142198
"2025","London","Age 39",140459
"2025","London","Age 40",139189
"2025","London","Age 41",133937
"2025","London","Age 42",133555
"2025","London","Age 43",132834
"2025","London","Age 44",133388
"2025","London","Age 45",132825
"2025","London","Age 46",127318
"2025","London","Age 47",121092
"2025","London","Age 48",118023
"2025","London","Age 49",116768
"2025","London","Age 50",116515
"2025","London","Age 51",112741
"2025","London","Age 52",111988
"2025","London","Age 53",111045
"2025","London","Age 54",111733
"2025","London","Age 55",110800
"2025","London","Age 56",109316
"2025","London","Age 57",107961
"2025","London","Age 58",104500
"2025","London","Age 59",103449
"2025","London","Age 60",100268
"2025","London","Age 61",97597
"2025","London","Age 62",93588
"2025","London","Age 63",88272
"2025","London","Age 64",83865
"2025","South East","Age 18",114947
"2025","South East","Age 19",103571
"2025","South East","Age 20",100879
"2025","South East","Age 21",99947
"2025","South East","Age 22",100231
"2025","South East","Age 23",103823
"2025","South East","Age 24",105026
"2025","South East","Age 25",106206
"2025","South East","Age 26",109194
"2025","South East","Age 27",111364
"2025","South East","Age 28",112485
"2025","South East","Age 29",111569
"2025","South East","Age 30",114850
"2025","South East","Age 31",119555
"2025","South East","Age 32",122101
"2025","South East","Age 33",127630
"2025","South East","Age 34",131284
"2025","South East","Age 35",133409
"2025","South East","Age 36",133991
"2025","South East","Age 37",135724
"2025","South East","Age 38",134551
"2025","South East","Age 39",133700
"2025","South East","Age 40",133108
"2025","South East","Age 41",130146
"2025","South East","Age 42",131337
"2025","South East","Age 43",130888
"2025","South East","Age 44",132923
"2025","South East","Age 45",133213
"2025","South East","Age 46",128774
"2025","South East","Age 47",121170
"2025","South East","Age 48",118695
"2025","South East","Age 49",119059
"2025","South East","Age 50",121876
"2025","South East","Age 51",122733
"2025","South East","Age 52",126393
"2025","South East","Age 53",129170
"2025","South East","Age 54",132470
"2025","South East","Age 55",127383
"2025","South East","Age 56",129842
"2025","South East","Age 57",129982
"2025","South East","Age 58",131389
"2025","South East","Age 59",129799
"2025","South East","Age 60",130011
"2025","South East","Age 61",127284
"2025","South East","Age 62",123869
"2025","South East","Age 63",119333
"2025","South East","Age 64",114587
"2025","South West","Age 18",67282
"2025","South West","Age 19",71646
"2025","South West","Age 20",73970
"2025","South West","Age 21",71446
"2025","South West","Age 22",70366
"2025","South West","Age 23",66507
"2025","South West","Age 24",63873
"2025","South West","Age 25",65226
